Time,Altitude,Velocity,Mass,Thrust,Phase
0.0,79755.20375,-489.5925,25000.0,0.0,Coasting
0.5,79515.29583749172,-479.81582501655464,25000.0,0.0,Coasting
1.0,79279.98601127774,-470.6196524279552,25000.0,0.0,Coasting
1.5,79049.00659756709,-461.95882742130635,25000.0,0.0,Coasting
2.0,78822.1102413273,-453.7927124795677,25000.0,0.0,Coasting
2.5,78599.0679247557,-446.08463314321943,25000.0,0.0,Coasting
3.0,78379.66722286934,-438.80140377272005,25000.0,0.0,Coasting
3.5,78163.71076281153,-431.9129201156043,25000.0,0.0,Coasting
4.0,77951.01485885221,-425.39180791863356,25000.0,0.0,Coasting
4.5,77741.40829946913,-419.2131187661712,25000.0,0.0,Coasting
5.0,77534.73126652875,-413.35406588074954,25000.0,0.0,Coasting
5.5,77330.83436959164,-407.79379387421557,25000.0,0.0,Coasting
6.0,77129.57778086566,-402.5131774519731,25000.0,0.0,Coasting
6.5,76930.8304584166,-397.494644898096,25000.0,0.0,Coasting
7.0,76734.46944699468,-392.72202284383286,25000.0,0.0,Coasting
7.5,76540.37924730658,-388.18039937620654,25000.0,0.0,Coasting
8.0,76348.45124580631,-383.85600300053943,25000.0,0.0,Coasting
8.5,76158.58319813163,-379.73609534936696,25000.0,0.0,Coasting
9.0,75970.6787602091,-375.80887584505695,25000.0,0.0,Coasting
9.5,75784.64706181598,-372.06339678626654,25000.0,0.0,Coasting
10.0,75600.40231804171,-368.4894875485433,25000.0,0.0,Coasting
10.5,75417.86347465447,-365.0776867744738,25000.0,0.0,Coasting
11.0,75236.95388386202,-361.81918158491203,25000.0,0.0,Coasting
11.5,75057.60100737456,-358.705752974942,25000.0,0.0,Coasting
12.0,74879.73614403937,-355.7297266703812,25000.0,0.0,Coasting
12.5,74703.29417963131,-352.8839288161159,25000.0,0.0,Coasting
13.0,74528.21335665676,-350.16164594909316,25000.0,0.0,Coasting
13.5,74354.43506226747,-347.55658877859923,25000.0,0.0,Coasting
14.0,74181.90363258927,-345.06285935639,25000.0,0.0,Coasting
14.5,74010.56617195386,-342.6749212708235,25000.0,0.0,Coasting
15.0,73840.37238568203,-340.38757254366067,25000.0,0.0,Coasting
15.5,73671.27442520867,-338.195920946703,25000.0,0.0,Coasting
16.0,73503.22674446426,-336.09536148882245,25000.0,0.0,Coasting
16.5,73336.18596653779,-334.08155585294645,25000.0,0.0,Coasting
17.0,73170.11075974387,-332.15041358782753,25000.0,0.0,Coasting
17.5,73004.96172230312,-330.29807488147543,25000.0,0.0,Coasting
18.0,72840.70127492191,-328.52089476241287,25000.0,0.0,Coasting
18.5,72677.293560626,-326.8154285918137,25000.0,0.0,Coasting
19.0,72514.70435126379,-325.1784187244176,25000.0,0.0,Coasting
19.5,72352.90096014921,-323.60678222916573,25000.0,0.0,Coasting
20.0,72191.85216036321,-322.09759957200197,25000.0,0.0,Coasting
20.5,72031.5281082765,-320.64810417343665,25000.0,0.0,Coasting
21.0,71871.90027189527,-319.255672762448,25000.0,0.0,Coasting
21.5,71712.94136366714,-317.91781645624906,25000.0,0.0,Coasting
22.0,71554.62527741588,-316.6321725025051,25000.0,0.0,Coasting
22.5,71396.92702910244,-315.39649662685616,25000.0,0.0,Coasting
23.0,71239.82270113536,-314.20865593418085,25000.0,0.0,Coasting
23.5,71083.28938997685,-313.066622317013,25000.0,0.0,Coasting
24.0,70927.30515681238,-311.9684663289628,25000.0,0.0,Coasting
24.5,70771.8489810699,-310.9123514849645,25000.0,0.0,Coasting
